monarch	regnalyearnumber	regnalyeardaterangetext
Edw. 6	5	1551-01-28J11/1552-01-27J11
Edw. 6	7	1553-01-28J11/1553-07-06J11
Edw. 6	1	1547-01-28J11/1548-01-27J11
Edw. 6	2	1548-01-28J11/1549-01-27J11
Edw. 6	3	1549-01-28J11/1550-01-27J11
Edw. 6	4	1550-01-28J11/1551-01-27J11
Edw. 7	4	1904-01-22/1905-01-21
Edw. 7	2	1902-01-22/1903-01-21
Edw. 7	1	1901-01-22/1902-01-21
Edw. 7	8	1908-01-22/1909-01-21
Edw. 7	9	1909-01-22/1910-01-21
Edw. 7	10	1910-01-22/1910-05-06
Edw. 7	3	1903-01-22/1904-01-21
Edw. 7	7	1907-01-22/1908-01-21
Edw. 7	6	1906-01-22/1907-01-21
Edw. 7	5	1905-01-22/1906-01-21
Edw. 8	1	1936-01-20/1936-12-11
Eliz.	17	1574-11-17J11/1575-11-16J11
Eliz.	18	1575-11-17J11/1576-11-16J11
Eliz.	19	1576-11-17J11/1577-11-16J11
Eliz.	20	1577-11-17J11/1578-11-16J11
Eliz.	21	1578-11-17J11/1579-11-16J11
Eliz.	22	1579-11-17J11/1580-11-16J11
Eliz.	23	1580-11-17J11/1581-11-16J11
Eliz.	24	1581-11-17J11/1582-11-16J11
Eliz.	37	1594-11-17J11/1595-11-16J11
Eliz.	38	1595-11-17J11/1596-11-16J11
Eliz.	39	1596-11-17J11/1597-11-16J11
Eliz.	40	1597-11-17J11/1598-11-16J11
Eliz.	41	1598-11-17J11/1599-11-16J11
Eliz.	42	1599-11-17J11/1600-11-16J11
Eliz.	43	1600-11-17J11/1601-11-16J11
Eliz.	44	1601-11-17J11/1602-11-16J11
Eliz.	45	1602-11-17J11/1603-03-24J11
Eliz.	36	1593-11-17J11/1594-11-16J11
Eliz.	34	1591-11-17J11/1592-11-16J11
Eliz.	33	1590-11-17J11/1591-11-16J11
Eliz.	30	1587-11-17J11/1588-11-16J11
Eliz.	25	1582-11-17J11/1583-11-16J11
Eliz.	29	1586-11-17J11/1587-11-16J11
Eliz.	28	1585-11-17J11/1586-11-16J11
Eliz.	27	1584-11-17J11/1585-11-16J11
Eliz.	26	1583-11-17J11/1584-11-16J11
Eliz.	35	1592-11-17J11/1593-11-16J11
Eliz.	32	1589-11-17J11/1590-11-16J11
Eliz.	1	1558-11-17J11/1559-11-16J11
Eliz.	2	1559-11-17J11/1560-11-16J11
Eliz.	3	1560-11-17J11/1561-11-16J11
Eliz.	31	1588-11-17J11/1589-11-16J11
Eliz.	4	1561-11-17J11/1562-11-16J11
Eliz.	5	1562-11-17J11/1563-11-16J11
Eliz.	6	1563-11-17J11/1564-11-16J11
Eliz.	7	1564-11-17J11/1565-11-16J11
Eliz.	8	1565-11-17J11/1566-11-16J11
Eliz.	9	1566-11-17J11/1567-11-16J11
Eliz.	10	1567-11-17J11/1568-11-16J11
Eliz.	11	1568-11-17J11/1569-11-16J11
Eliz.	12	1569-11-17J11/1570-11-16J11
Eliz.	13	1570-11-17J11/1571-11-16J11
Eliz.	14	1571-11-17J11/1572-11-16J11
Eliz.	15	1572-11-17J11/1573-11-16J11
Eliz.	16	1573-11-17J11/1574-11-16J11
Eliz. 2	10	1961-02-06/1962-02-05
Eliz. 2	38	1989-02-06/1990-02-05
Eliz. 2	37	1988-02-06/1989-02-05
Eliz. 2	36	1987-02-06/1988-02-05
Eliz. 2	35	1986-02-06/1987-02-05
Eliz. 2	34	1985-02-06/1986-02-05
Eliz. 2	33	1984-02-06/1985-02-05
Eliz. 2	32	1983-02-06/1984-02-05
Eliz. 2	31	1982-02-06/1983-02-05
Eliz. 2	30	1981-02-06/1982-02-05
Eliz. 2	29	1980-02-06/1981-02-05
Eliz. 2	28	1979-02-06/1980-02-05
Eliz. 2	27	1978-02-06/1979-02-05
Eliz. 2	26	1977-02-06/1978-02-05
Eliz. 2	25	1976-02-06/1977-02-05
Eliz. 2	24	1975-02-06/1976-02-05
Eliz. 2	23	1974-02-06/1975-02-05
Eliz. 2	22	1973-02-06/1974-02-05
Eliz. 2	21	1972-02-06/1973-02-05
Eliz. 2	20	1971-02-06/1972-02-05
Eliz. 2	71	2022-02-06/2022-09-08
Eliz. 2	70	2021-02-06/2022-02-05
Eliz. 2	69	2020-02-06/2021-02-05
Eliz. 2	68	2019-02-06/2020-02-05
Eliz. 2	67	2018-02-06/2019-02-05
Eliz. 2	66	2017-02-06/2018-02-05
Eliz. 2	65	2016-02-06/2017-02-05
Eliz. 2	64	2015-02-06/2016-02-05
Eliz. 2	63	2014-02-06/2015-02-05
Eliz. 2	62	2013-02-06/2014-02-05
Eliz. 2	61	2012-02-06/2013-02-05
Eliz. 2	60	2011-02-06/2012-02-05
Eliz. 2	59	2010-02-06/2011-02-05
Eliz. 2	58	2009-02-06/2010-02-05
Eliz. 2	57	2008-02-06/2009-02-05
Eliz. 2	56	2007-02-06/2008-02-05
Eliz. 2	55	2006-02-06/2007-02-05
Eliz. 2	54	2005-02-06/2006-02-05
Eliz. 2	53	2004-02-06/2005-02-05
Eliz. 2	52	2003-02-06/2004-02-05
Eliz. 2	51	2002-02-06/2003-02-05
Eliz. 2	50	2001-02-06/2002-02-05
Eliz. 2	49	2000-02-06/2001-02-05
Eliz. 2	48	1999-02-06/2000-02-05
Eliz. 2	47	1998-02-06/1999-02-05
Eliz. 2	46	1997-02-06/1998-02-05
Eliz. 2	45	1996-02-06/1997-02-05
Eliz. 2	44	1995-02-06/1996-02-05
Eliz. 2	43	1994-02-06/1995-02-05
Eliz. 2	42	1993-02-06/1994-02-05
Eliz. 2	41	1992-02-06/1993-02-05
Eliz. 2	40	1991-02-06/1992-02-05
Eliz. 2	39	1990-02-06/1991-02-05
Eliz. 2	19	1970-02-06/1971-02-05
Eliz. 2	18	1969-02-06/1970-02-05
Eliz. 2	17	1968-02-06/1969-02-05
Eliz. 2	16	1967-02-06/1968-02-05
Eliz. 2	15	1966-02-06/1967-02-05
Eliz. 2	14	1965-02-06/1966-02-05
Eliz. 2	13	1964-02-06/1965-02-05
Eliz. 2	12	1963-02-06/1964-02-05
Eliz. 2	11	1962-02-06/1963-02-05
Eliz. 2	9	1960-02-06/1961-02-05
Eliz. 2	8	1959-02-06/1960-02-05
Eliz. 2	7	1958-02-06/1959-02-05
Eliz. 2	6	1957-02-06/1958-02-05
Eliz. 2	5	1956-02-06/1957-02-05
Eliz. 2	4	1955-02-06/1956-02-05
Eliz. 2	3	1954-02-06/1955-02-05
Eliz. 2	2	1953-02-06/1954-02-05
Eliz. 2	1	1952-02-06/1953-02-05
Geo.	11	1724-08-01J11/1725-07-31J11
Geo.	10	1723-08-01J11/1724-07-31J11
Geo.	9	1722-08-01J11/1723-07-31J11
Geo.	8	1721-08-01J11/1722-07-31J11
Geo.	7	1720-08-01J11/1721-07-31J11
Geo.	6	1719-08-01J11/1720-07-31J11
Geo.	5	1718-08-01J11/1719-07-31J11
Geo.	4	1717-08-01J11/1718-07-31J11
Geo.	3	1716-08-01J11/1717-07-31J11
Geo.	2	1715-08-01J11/1716-07-31J11
Geo.	1	1714-08-01J11/1715-07-31J11
Geo.	13	1726-08-01J11/1727-06-11J11
Geo.	12	1725-08-01J11/1726-07-31J11
Geo. 2	24	1750-06-11J11/1751-06-10J11
Geo. 2	23	1749-06-11J11/1750-06-10J11
Geo. 2	22	1748-06-11J11/1749-06-10J11
Geo. 2	21	1747-06-11J11/1748-06-10J11
Geo. 2	20	1746-06-11J11/1747-06-10J11
Geo. 2	19	1745-06-11J11/1746-06-10J11
Geo. 2	18	1744-06-11J11/1745-06-10J11
Geo. 2	17	1743-06-11J11/1744-06-10J11
Geo. 2	16	1742-06-11J11/1743-06-10J11
Geo. 2	15	1741-06-11J11/1742-06-10J11
Geo. 2	14	1740-06-11J11/1741-06-10J11
Geo. 2	13	1739-06-11J11/1740-06-10J11
Geo. 2	12	1738-06-11J11/1739-06-10J11
Geo. 2	11	1737-06-11J11/1738-06-10J11
Geo. 2	5	1731-06-11J11/1732-06-10J11
Geo. 2	8	1734-06-11J11/1735-06-10J11
Geo. 2	3	1729-06-11J11/1730-06-10J11
Geo. 2	2	1728-06-11J11/1729-06-10J11
Geo. 2	1	1727-06-11J11/1728-06-10J11
Geo. 2	10	1736-06-11J11/1737-06-10J11
Geo. 2	9	1735-06-11J11/1736-06-10J11
Geo. 2	4	1730-06-11J11/1731-06-10J11
Geo. 2	7	1733-06-11J11/1734-06-10J11
